scallop,804,1112,897,1179,0.95
scallop,141,1234,242,1279,0.94
scallop,41,1340,146,1410,0.91
scallop,298,1267,407,1319,0.89
scallop,1383,1036,1480,1080,0.86
scallop,694,1017,797,1079,0.84
scallop,1144,1158,1241,1217,0.84
scallop,1609,1014,1718,1062,0.81
scallop,1857,752,1953,811,0.76
scallop,1793,859,1929,929,0.74
scallop,1199,902,1297,971,0.70
scallop,954,1023,1031,1067,0.67
scallop,1079,1208,1193,1266,0.63
scallop,95,1127,182,1177,0.57
scallop,1689,919,1784,974,0.56
scallop,841,1050,926,1105,0.43
scallop,1993,732,2091,795,0.41
scallop,1461,946,1589,1020,0.41
scallop,145,804,238,866,0.40
scallop,149,1225,232,1265,0.37
scallop,1137,853,1230,904,0.37
scallop,20,981,147,1045,0.36
scallop,1245,1084,1326,1139,0.34
scallop,137,1329,261,1424,0.32
starfish,1100,1044,1201,1113,0.85
starfish,242,1019,367,1122,0.84
starfish,0,1231,93,1327,0.81
starfish,1971,828,2093,922,0.51
