echinus,1236,626,1301,683,0.46
echinus,341,1331,518,1485,0.45
echinus,684,1372,798,1475,0.33
echinus,1626,341,1686,395,0.33
scallop,1419,1392,1505,1468,1.00
scallop,1083,1430,1165,1491,1.00
scallop,1563,1286,1647,1334,0.99
scallop,1807,1348,1892,1427,0.97
scallop,1606,1363,1701,1447,0.97
scallop,1010,1433,1080,1499,0.94
scallop,1554,1230,1644,1291,0.86
scallop,963,1364,1041,1430,0.80
scallop,1759,1283,1838,1341,0.77
scallop,744,897,819,958,0.76
scallop,1261,520,1321,564,0.65
scallop,1667,248,1722,293,0.61
scallop,844,854,912,910,0.33
