holothurian,227,154,268,201,0.66
holothurian,620,151,666,199,0.50
echinus,232,232,274,274,0.99
echinus,502,269,549,313,0.99
echinus,298,207,341,251,0.99
echinus,345,168,384,213,0.99
echinus,113,123,156,160,0.99
echinus,426,345,481,403,0.99
echinus,606,220,652,263,0.99
echinus,387,345,430,390,0.98
echinus,576,102,616,142,0.98
echinus,671,100,712,135,0.96
echinus,136,84,172,113,0.96
echinus,547,59,577,86,0.95
echinus,67,93,109,128,0.91
echinus,553,44,583,66,0.55
echinus,642,62,677,97,0.51
echinus,367,338,493,402,0.37
starfish,489,191,537,230,0.99
starfish,14,372,97,404,0.98
starfish,182,285,239,336,0.95
