echinus,2130,1920,2445,2158,1.00
echinus,2488,1630,2755,1859,1.00
echinus,3569,1782,3831,2156,0.99
echinus,2078,1340,2185,1452,0.99
echinus,1537,1618,1652,1740,0.98
echinus,3240,1762,3638,2071,0.98
echinus,2679,1253,2767,1334,0.97
echinus,1059,1789,1148,1872,0.89
echinus,945,1826,1033,1908,0.88
echinus,3282,1758,3812,2150,0.61
echinus,2512,1257,2623,1345,0.56
echinus,2177,1209,2257,1283,0.42
starfish,3090,1564,3434,1818,1.00
starfish,2423,1464,2633,1620,0.99
starfish,2643,1562,2835,1725,0.99
starfish,1504,1958,1653,2116,0.99
starfish,2608,1443,2808,1510,0.90
starfish,1969,1494,2045,1568,0.38
