holothurian,2109,1163,2295,1258,0.99
holothurian,806,1847,991,2051,0.99
holothurian,2443,1625,2630,1795,0.98
holothurian,1895,472,2068,560,0.98
holothurian,2097,142,2216,210,0.97
holothurian,2939,1443,3244,1582,0.95
holothurian,2410,1775,2684,1976,0.93
holothurian,3149,812,3354,934,0.85
holothurian,2743,567,2841,682,0.81
holothurian,2002,1415,2108,1665,0.78
holothurian,2036,937,2217,1085,0.43
echinus,1085,1632,1258,1797,0.99
echinus,2672,984,2858,1176,0.99
echinus,827,1333,943,1470,0.93
echinus,2734,1569,2896,1741,0.76
echinus,474,1982,755,2156,0.63
starfish,36,830,277,1049,1.00
starfish,930,435,1096,583,0.99
starfish,3292,1676,3503,1863,0.99
starfish,2560,1350,2706,1473,0.99
starfish,3393,2039,3600,2157,0.99
starfish,834,2019,1024,2159,0.98
starfish,1101,1542,1252,1653,0.84
starfish,2595,1617,2714,1737,0.71
starfish,1854,724,1943,822,0.56
starfish,0,2100,186,2160,0.38
