echinus,1300,469,1367,543,0.96
echinus,1470,1037,1532,1094,0.66
scallop,1566,1312,1656,1388,0.99
scallop,1321,1044,1413,1103,0.99
scallop,1393,1366,1481,1437,0.99
scallop,845,1328,931,1402,0.99
scallop,1673,852,1746,913,0.98
scallop,725,771,800,820,0.97
scallop,1044,1329,1121,1392,0.96
scallop,1596,1187,1689,1256,0.96
scallop,1073,1426,1175,1514,0.95
scallop,1583,808,1657,874,0.94
scallop,1764,1329,1849,1385,0.93
scallop,1726,1231,1809,1304,0.91
scallop,1319,1479,1389,1536,0.87
scallop,780,998,855,1063,0.83
scallop,916,1237,1010,1309,0.77
scallop,792,1263,869,1325,0.74
scallop,1681,816,1755,858,0.74
scallop,1561,658,1628,726,0.72
scallop,1318,536,1400,591,0.61
scallop,1723,680,1782,724,0.36
starfish,1181,1321,1315,1434,0.99
starfish,204,1353,334,1465,0.99
starfish,1359,1434,1440,1509,0.96
starfish,1538,951,1629,1029,0.95
starfish,661,726,745,793,0.87
starfish,97,1411,202,1502,0.85
starfish,688,980,773,1058,0.80
