holothurian,1673,824,1812,895,0.55
echinus,2093,867,2263,1027,1.00
echinus,2567,1754,2742,1931,1.00
echinus,3156,1568,3347,1749,0.99
echinus,1509,1139,1648,1285,0.98
echinus,1765,686,1866,774,0.98
echinus,2515,732,2623,835,0.97
echinus,1596,1389,1754,1562,0.97
echinus,1203,1402,1324,1528,0.92
echinus,1683,655,1776,740,0.91
echinus,2396,744,2501,850,0.65
echinus,1405,914,1491,1002,0.55
echinus,2838,1568,2981,1691,0.51
echinus,2537,588,2660,673,0.49
echinus,1414,1679,1575,1833,0.34
echinus,1484,844,1620,975,0.30
starfish,2641,1983,2786,2114,0.99
starfish,2489,1876,2649,2032,0.99
starfish,3017,2080,3211,2160,0.99
starfish,2883,1765,3003,1875,0.97
starfish,2215,1715,2368,1822,0.85
starfish,3624,1682,3800,1830,0.64
starfish,1405,1538,1587,1699,0.35
