echinus,1261,522,1420,680,0.41
scallop,1710,863,1800,976,0.99
scallop,1306,1342,1385,1428,0.99
scallop,1577,1044,1647,1142,0.98
scallop,1249,1404,1318,1493,0.98
scallop,1397,1378,1485,1482,0.97
scallop,1169,1379,1247,1472,0.97
scallop,1452,444,1524,525,0.97
scallop,1530,396,1620,494,0.94
scallop,1862,697,1949,799,0.93
scallop,1634,846,1701,920,0.88
scallop,1795,690,1871,771,0.87
scallop,1594,797,1680,878,0.83
scallop,1212,517,1273,580,0.81
scallop,1325,434,1382,500,0.80
scallop,918,1326,996,1404,0.79
scallop,1161,422,1216,474,0.65
scallop,1483,254,1553,333,0.62
scallop,987,461,1047,525,0.58
scallop,1264,471,1338,541,0.58
scallop,762,1175,830,1260,0.45
scallop,662,1072,723,1125,0.44
scallop,1884,1158,1950,1225,0.43
scallop,1669,1433,1780,1536,0.42
scallop,1147,355,1214,421,0.40
scallop,1979,468,2048,553,0.38
scallop,1118,529,1211,622,0.33
scallop,1383,405,1441,462,0.32
starfish,1883,1191,1994,1299,0.99
starfish,1731,145,1826,250,0.95
starfish,1912,1086,2021,1214,0.92
