holothurian,2680,1585,2891,1692,0.88
echinus,1567,851,1776,1041,1.00
echinus,2737,1263,2864,1388,1.00
echinus,656,584,873,783,0.99
echinus,1253,584,1401,721,0.99
echinus,3498,1689,3666,1858,0.99
echinus,2490,1094,2616,1244,0.99
echinus,1607,676,1786,831,0.96
echinus,1301,764,1437,888,0.94
echinus,3267,1057,3380,1157,0.93
echinus,1666,753,1807,876,0.91
echinus,1810,719,1933,851,0.84
echinus,2401,1163,2522,1302,0.82
echinus,1036,615,1165,686,0.82
echinus,3589,1350,3779,1514,0.71
echinus,3441,1775,3580,1924,0.67
starfish,3234,1704,3392,1835,0.95
starfish,2663,1480,2814,1595,0.31
