echinus,2878,1882,3212,2142,1.00
echinus,2433,1670,2623,1810,1.00
echinus,1342,1275,1505,1445,1.00
echinus,445,888,574,996,0.99
echinus,2823,1675,3026,1846,0.99
echinus,995,1363,1176,1557,0.98
echinus,1495,635,1599,733,0.97
echinus,1573,993,1685,1100,0.97
echinus,1786,963,1878,1068,0.97
echinus,1818,1212,1907,1314,0.97
echinus,3066,1300,3192,1425,0.95
echinus,3314,1649,3538,1816,0.91
echinus,2836,1156,2949,1268,0.83
echinus,620,829,919,979,0.72
echinus,345,991,511,1096,0.68
echinus,2242,1764,2477,1996,0.43
echinus,1421,539,1529,614,0.35
echinus,2241,933,2390,1079,0.32
starfish,2587,936,2728,1006,0.42
