holothurian,1489,1178,1721,1366,0.98
holothurian,851,1705,961,1824,0.89
echinus,595,1841,777,2006,1.00
echinus,1252,605,1390,751,0.98
echinus,2541,0,2677,101,0.95
echinus,2558,1374,2636,1461,0.82
echinus,759,320,856,435,0.51
starfish,1928,1269,2095,1434,1.00
starfish,379,1708,512,1816,0.99
starfish,1320,496,1443,629,0.99
starfish,1723,1268,1852,1405,0.99
starfish,3074,369,3180,459,0.97
starfish,3590,802,3758,929,0.92
starfish,2284,1258,2419,1425,0.91
starfish,1805,1605,1987,1789,0.90
starfish,1372,637,1447,732,0.85
starfish,1105,667,1222,784,0.74
starfish,2250,869,2332,1006,0.59
starfish,2170,298,2276,397,0.57
