echinus,1233,323,1297,395,0.95
echinus,1134,245,1211,319,0.93
echinus,1707,1296,1748,1359,0.34
echinus,1429,93,1490,155,0.33
scallop,1227,1289,1306,1366,0.99
scallop,1550,1092,1627,1185,0.99
scallop,1716,971,1805,1071,0.99
scallop,1556,463,1639,542,0.97
scallop,1651,922,1724,986,0.97
scallop,1147,1330,1226,1409,0.95
scallop,1633,859,1711,939,0.95
scallop,1284,1348,1393,1450,0.94
scallop,1075,1258,1150,1330,0.94
scallop,1900,863,1990,957,0.94
scallop,1625,290,1707,367,0.84
scallop,1678,1361,1768,1456,0.75
scallop,1250,229,1328,298,0.74
scallop,1659,423,1746,500,0.72
scallop,1420,902,1502,970,0.69
scallop,1281,419,1342,488,0.60
scallop,1295,281,1351,333,0.46
scallop,1838,837,1914,898,0.42
scallop,1082,457,1136,525,0.38
scallop,1290,338,1340,390,0.31
starfish,1880,1386,2023,1536,1.00
starfish,1794,1352,1924,1477,0.87
starfish,1578,356,1680,441,0.78
starfish,1791,1265,1884,1354,0.44
starfish,1939,1111,1997,1219,0.33
